iter	CrossEntropy
353	0.4673939804
354	0.4673273754
355	0.4673072487
356	0.4671277941
357	0.4669685598
358	0.4667104709
359	0.4664353915
360	0.4662468097
361	0.4659797341
362	0.4659297452
363	0.4657782806
364	0.4656267225
365	0.4655646576
366	0.4654142228
367	0.4652706685
368	0.4651602529
369	0.4648822246
370	0.4644638717
371	0.4644215122
372	0.464332487
373	0.4642913444
374	0.4642091061
375	0.4640825892
376	0.4640043294
377	0.4637336029
378	0.4635417915
379	0.4634010455
380	0.4632569295
381	0.4632164891
382	0.4629773567
383	0.4629378992
384	0.4628492016
385	0.462657437
386	0.462571501
387	0.4623674264
388	0.4621797807
389	0.4620152573
390	0.4617759845
391	0.4617231872
392	0.4615827689
393	0.4615065686
394	0.4614562052
395	0.4613477087
396	0.4610421116
397	0.4609407296
398	0.4608664483
399	0.4606280649
400	0.4604511846
401	0.460305524
402	0.4602651304
403	0.4602434591
404	0.4602187455
405	0.4598892306
406	0.4598707421
407	0.459683939
408	0.4595758169
409	0.4595162327
410	0.4594746221
411	0.4594191101
412	0.45922552
413	0.4591446391
414	0.4589089236
415	0.4587963081
416	0.4586462477
417	0.4585291389
418	0.4583900779
419	0.45833817
420	0.4582945935
421	0.4580969781
422	0.4579652189
423	0.4578730109
424	0.4578455357
425	0.4575877745
426	0.4573622627
427	0.4571663792
428	0.4570988848
429	0.4570087831
430	0.4568648543
431	0.456665788
432	0.4565729247
433	0.4564896098
434	0.4563352901
435	0.4562385887
436	0.4560896517
437	0.4559958054
438	0.4559354724
439	0.4558770115
440	0.4557617281
441	0.4556888978
442	0.4555704316
443	0.4554963843
444	0.4553816158
445	0.4552973648
446	0.4551310159
447	0.4549815172
448	0.4548468561
449	0.4547621838
450	0.4546691801
451	0.4545851631
452	0.4545677513
453	0.4544959039
454	0.4544264905
455	0.4542491421
456	0.4541450454
457	0.454045676
458	0.4539185974
459	0.4536457647
460	0.4535804234
461	0.4535456464
462	0.453538017
463	0.4533362827
464	0.453233637
465	0.4530515144
466	0.4529928196
467	0.4528832933
468	0.4528069057
469	0.4527217186
470	0.4526382165
471	0.4524727102
472	0.452452958
